old_url,new_url,action,title,pubDate,bodyWords,transcriptWords,tags,youtubeId,draft,note,game
/blog/vlogs/100-sub-giveaway-and-2026-goals/,/vlog/100-sub-giveaway-and-2026-goals/,vlog,100 Sub Giveaway and 2026 Goals,2026-01-05,1051,4836,giveaway,UJ7z059CLlA,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/3d-printing-kind-of-sucks/,/vlog/3d-printing-kind-of-sucks/,vlog,3D Printing Kind of Sucks,2025-11-04,272,319,3d-printing,H8YTDmWmrRw,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/almost-done-with-dolmenwood-breggle-mini/,/vlog/almost-done-with-dolmenwood-breggle-mini/,vlog,Almost Done with Dolmenwood Breggle Mini,2026-01-16,13,1081,"dolmenwood,speed-painting,painting",sQBaY0JRxN0,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,dolmenwood
/blog/vlogs/almost-done-with-the-first-mini-of-2026/,/vlog/almost-done-with-the-first-mini-of-2026/,vlog,Almost Done with the First Mini of 2026,2026-01-02,1017,4379,"warmachine,crucible-guard,painting,washes",dal8U5Jw28Y,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,warmachine
/blog/vlogs/almost-done/,/vlog/almost-done/,vlog,Almost done,2026-05-24,9,0,"painting,glazing, infinity",zFFKXkdD3js,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,infinity
/blog/vlogs/anime-filler-episode/,/vlog/anime-filler-episode/,vlog,"Prima Materia Dice, Orc the Brand, and a Foam Haul",2026-05-03,10,590,"unboxing,terrain",iavLv96Y1Mo,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/another-dolmenwood-miniature-done/,/vlog/another-dolmenwood-miniature-done/,vlog,Painting Illuminated Text and Magical Pipe Smoke,2026-01-17,484,1944,"dolmenwood,painting",nXE9nRQ8mek,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,dolmenwood
/blog/vlogs/another-new-project-kinda/,/vlog/another-new-project-kinda/,vlog,A Surprise Laser Engraver (and Near-Toxic Gas),2026-03-10,11,319,crafts,Hbca94puUPU,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/another-random-hobby-day/,/vlog/another-random-hobby-day/,vlog,"Iso Alcohol Mud Texture, a Studio Cleanup, and a Giveaway",2026-02-23,11,863,"terrain,giveaway,midgard",C0Cu1yMeTI8,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/another-warmachine-update-video/,/vlog/another-warmachine-update-video/,vlog,"Rahara, Thyra, and Fifth Division List Ideas",2026-01-18,481,2246,warmachine,qtSvzjEH8IY,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,warmachine
